Date,Close,Volume,Open,High,Low
3/28/2025,$93.39 ,44227170,$97.20 ,$97.50 ,$92.92 
3/27/2025,$97.67 ,30472370,$97.42 ,$98.90 ,$96.64 
3/26/2025,$97.07 ,35347070,$99.38 ,$99.68 ,$96.63 
3/25/2025,$99.73 ,37822450,$97.82 ,$99.87 ,$97.71 
3/24/2025,$97.20 ,46778710,$96.97 ,$97.70 ,$95.16 
3/21/2025,$96.03 ,59054290,$94.16 ,$96.37 ,$94.10 
3/20/2025,$95.08 ,44663050,$95.00 ,$96.70 ,$94.55 
3/19/2025,$95.95 ,66623610,$93.58 ,$96.80 ,$92.40 
3/18/2025,$93.00 ,60094000,$94.00 ,$94.83 ,$91.63 
3/17/2025,$95.00 ,75431460,$94.00 ,$96.76 ,$93.44 
3/14/2025,$91.80 ,52006840,$90.15 ,$91.96 ,$90.10 
3/13/2025,$89.02 ,50016980,$91.30 ,$92.19 ,$88.75 
3/12/2025,$91.97 ,68658370,$91.46 ,$92.72 ,$90.10 
3/11/2025,$89.51 ,73989340,$86.74 ,$91.07 ,$86.60 
3/10/2025,$86.67 ,69953090,$87.51 ,$88.13 ,$85.45 
3/7/2025,$89.11 ,77374880,$89.76 ,$90.49 ,$85.81 
3/6/2025,$90.64 ,78525590,$97.30 ,$97.37 ,$89.90 
3/5/2025,$99.09 ,38079350,$97.36 ,$99.56 ,$96.95 
3/4/2025,$97.26 ,43928140,$97.16 ,$98.63 ,$94.82 
3/3/2025,$97.37 ,39074470,$98.30 ,$99.49 ,$96.48 
2/28/2025,$98.06 ,47174090,$96.96 ,$98.23 ,$95.82 
2/27/2025,$96.31 ,37665660,$99.50 ,$100.07 ,$96.18 
2/26/2025,$99.01 ,33972050,$97.76 ,$100.09 ,$97.69 
2/25/2025,$97.72 ,47383040,$98.94 ,$99.44 ,$95.50 
2/24/2025,$98.85 ,44262270,$100.80 ,$101.52 ,$98.45 
2/21/2025,$100.32 ,37387100,$102.94 ,$103.24 ,$99.94 
2/20/2025,$102.45 ,31118310,$104.20 ,$104.50 ,$101.56 
2/19/2025,$104.33 ,26000480,$103.52 ,$104.50 ,$102.45 
2/18/2025,$103.59 ,42293390,$106.00 ,$106.20 ,$102.37 
2/14/2025,$105.86 ,31454300,$104.50 ,$106.45 ,$104.17 
2/13/2025,$104.37 ,34760680,$102.66 ,$104.60 ,$102.51 
2/12/2025,$102.73 ,33889660,$100.55 ,$102.77 ,$99.83 
2/11/2025,$100.81 ,33317970,$102.08 ,$102.27 ,$100.30 
2/10/2025,$102.76 ,32965660,$102.31 ,$103.29 ,$101.59 
2/7/2025,$101.39 ,32128530,$101.70 ,$102.78 ,$100.57 
2/6/2025,$101.57 ,31342930,$100.79 ,$101.64 ,$100.26 
2/5/2025,$101.11 ,39977330,$98.77 ,$101.18 ,$98.67 
2/4/2025,$99.49 ,60001370,$98.05 ,$100.80 ,$97.85 
2/3/2025,$97.89 ,37241970,$97.30 ,$98.77 ,$96.44 
1/31/2025,$97.68 ,36187180,$97.40 ,$99.03 ,$97.40 
1/30/2025,$97.32 ,38678250,$98.68 ,$99.46 ,$97.00 
1/29/2025,$97.82 ,29307280,$98.00 ,$98.76 ,$96.82 
1/28/2025,$97.18 ,34339720,$96.67 ,$97.79 ,$95.73 
1/27/2025,$97.19 ,46342040,$97.11 ,$98.23 ,$96.03 
1/24/2025,$97.76 ,45503970,$98.44 ,$98.63 ,$96.77 
1/23/2025,$98.49 ,77521370,$95.78 ,$98.50 ,$95.39 
1/22/2025,$95.40 ,142732100,$99.80 ,$99.90 ,$95.08 
1/21/2025,$86.97 ,98513510,$86.35 ,$91.64 ,$85.47 
1/17/2025,$85.81 ,36175650,$85.98 ,$86.50 ,$85.21 
1/16/2025,$84.24 ,40285370,$86.10 ,$86.90 ,$84.20 
1/15/2025,$84.83 ,31813830,$83.64 ,$85.08 ,$83.04 
1/14/2025,$82.84 ,30376500,$84.32 ,$84.49 ,$82.35 
1/13/2025,$84.03 ,30245170,$83.15 ,$84.71 ,$82.91 
1/10/2025,$83.77 ,48033120,$86.64 ,$86.64 ,$83.44 
1/8/2025,$87.50 ,23479490,$88.00 ,$88.62 ,$87.30 
1/7/2025,$87.92 ,26498230,$87.94 ,$88.80 ,$86.91 
1/6/2025,$88.18 ,34576560,$88.88 ,$89.28 ,$87.17 
1/3/2025,$88.11 ,29700190,$89.31 ,$89.88 ,$87.99 
1/2/2025,$88.67 ,23156850,$89.55 ,$89.86 ,$87.70 
12/31/2024,$89.13 ,18758970,$90.18 ,$90.27 ,$88.95 
12/30/2024,$90.04 ,22029700,$89.45 ,$90.82 ,$88.97 
12/27/2024,$90.76 ,32261580,$91.60 ,$91.81 ,$89.45 
12/26/2024,$92.41 ,23424180,$92.84 ,$93.05 ,$91.53 
12/24/2024,$93.21 ,23202930,$91.50 ,$93.59 ,$91.17 
12/23/2024,$91.15 ,23393750,$91.34 ,$91.50 ,$89.91 
12/20/2024,$90.91 ,45305190,$89.32 ,$91.99 ,$89.05 
12/19/2024,$90.20 ,28155120,$90.82 ,$91.26 ,$89.90 
12/18/2024,$88.96 ,29381940,$91.91 ,$92.24 ,$88.66 
12/17/2024,$91.91 ,24594560,$92.15 ,$92.85 ,$91.64 
